sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.4489683562637925,0.0009735843986065727,295.20941248119686,9.947120586006896
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.008306582796574263,0.0009735843986065727,34.431176439461154,9.947120586006896
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.00040214103181183177,0.0009735843986065727,6.217276545776457,9.947120586006896
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0004710635977812573,0.0009735843986065727,7.135162962465143,9.947120586006896
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.00035906245955648846,0.0009735843986065727,5.7116390933934,9.947120586006896
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0004710632864244007,0.0009735843986065727,7.135162833023296,9.947120586006896
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0026727122053682916,0.0009735843986065727,19.06911764116822,9.947120586006896
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0004721646655792802,0.0009735843986065727,7.146485799131288,9.947120586006896
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.00047106356870438006,0.0009735843986065727,7.135162768196091,9.947120586006896
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0004953555471308931,0.0009735843986065727,6.623483695572488,9.947120586006896
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.002672712205615087,0.0009735843986065727,19.069117646279913,9.947120586006896
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0026727122049368425,0.0009735843986065727,19.069117632231926,9.947120586006896
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0004710635637562034,0.0009735843986065727,7.135162816851945,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.00029684270833174045,0.0009735843986065727,5.723076814945543,9.947120586006896
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0004953555212649712,0.0009735843986065727,6.623483232471118,9.947120586006896
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.00044725110456056,0.0009735843986065727,6.252811493296074,9.947120586006896
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0004721643227350824,0.0009735843986065727,7.146485204442412,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.00047205485531756966,0.0009735843986065727,7.145358739758445,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0004721639255080031,0.0009735843986065727,7.146483387687292,9.947120586006896
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.00046110748695104393,0.0009735843986065727,7.030102702179066,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0002968427040503858,0.0009735843986065727,5.723076754395999,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.00029684270734884786,0.0009735843986065727,5.72307678981387,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.00029684272229350855,0.0009735843986065727,5.723076898853627,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.00029684271027409254,0.0009735843986065727,5.723076897808848,9.947120586006896
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.4489523684258643,0.0009735843986065727,295.20412491750176,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0027663273161197734,0.0009735843986065727,20.141176752296147,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0002968426959209459,0.0009735843986065727,5.72307667338711,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0002968426870376827,0.0009735843986065727,5.723076685711211,9.947120586006896
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.44896835626375386,0.0009735843986065727,295.20941248118385,9.947120586006896
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0002968427088348053,0.0009735843986065727,5.7230767463581085,9.947120586006896
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0004720543333377613,0.0009735843986065727,7.145356629555547,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0004021408364011571,0.0009735843986065727,6.217274819428928,9.947120586006896
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.008306582815602375,0.0009735843986065727,34.43117647105221,9.947120586006896
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.000359062435179792,0.0009735843986065727,5.711638808879956,9.947120586006896
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.000461107757473196,0.0009735843986065727,7.030102255538665,9.947120586006896
